coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,quote_id,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_id,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Thu Dec 01 15:29:44 +0000 2022,,,,4,1598338566471520258,prezydentpl,1598246163681280000,43932737,pl,,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@prezydentpl @AndrzejDuda Gdzie jest węgiel po 800 zeta ? Chuj nas obchodzi Mołdawia.,https://twitter.com/SlavCasusBelli/status/1598338566471520258,Wed Mar 09 09:27:43 +0000 2022,1501489847755849729,false,"Historia kołem się toczy miażdżąc nim głupców, którzy o tym zapomnieli.",1845,44,177,0,,CasusBelli,SlavCasusBelli,1726,,,false
,Thu Dec 01 13:28:05 +0000 2022,,,,2,1598307952502374400,Piotr69450735,1598306248365162497,1102908208933466100,pl,,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@Piotr69450735 Wiem, urodziłem się i mieszkałem w Wałbrzychu, biedaszyby czy węgiel w ogródku to dla mnie normalka👍😂",https://twitter.com/Jupiter300571/status/1598307952502374400,Thu Oct 03 16:49:31 +0000 2019,1179800581852028928,false,"#silniwdupie i ruskie onuce ban.
UWAGA‼️
Solidarna Polska💪",88723,5838,4877,12,,🇵🇱 Jupiter💯✌ 🇵🇱,Jupiter300571,57766,,,false
,Thu Dec 01 13:31:57 +0000 2022,,,,1,1598308922967953410,Piechocinski,1598061793104252928,323177351,pl,,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@Piechocinski Orlen dostarcza paczki, poczta sorzedaje książki kucharskie, szpitale sadzą marchew, szkoły się modlą, księża kręcą kasę, leśnicy tną lasy, myśliwi strzelają do siebie, kolejarze kopią węgiel, górnicy naprawiają wagony, wojsko pilnuje płotów, a piłkarze nie grają w piłkę.",https://twitter.com/artur_atl/status/1598308922967953410,Fri Aug 14 12:18:51 +0000 2009,65621687,true,"Mocą nawyku przyjąłem postawę ubawionego cynika, samolubnego widza, który innym zostawia kształtowanie rzeczywistości.",23917,49,79,0,,Artur,artur_atl,10685,,,false
,Thu Dec 01 16:41:52 +0000 2022,,,http://energetyczna.Za,1,1598356719838629890,marek67r,1598194123625975808,2261166356,pl,,false,,1,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@marek67r Węgiel to złoto i potęga https://t.co/KYBrH5fiXk żadne skarby nie wolno zmykać kopalń i rezygnować z węgla !!!,https://twitter.com/Joannazielenie2/status/1598356719838629890,Tue Nov 30 11:56:11 +0000 2021,1465648278847041541,false,"Prawdę swą należy mówić głośno,nie schlebiajac ani rzeczom,ani wypadkom,ani stosunkom,ani ideom. S.Zeromski",1991,124,31,10,Niebo,Kicia micia prosto z mostu!Bez ogródek !,Joannazielenie2,25735,,,false
,Thu Dec 01 15:54:40 +0000 2022,,,,0,1598344839904591875,Adam52724763,1598344273358987264,1320265412223918000,pl,,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@Adam52724763 @MKierwinski Kto darł ryja, żeby natychmiast rezygnować z ruskiego węgla? Po ile teraz jest węgiel? Jak odliczysz rządową dopłatę to ile Ci wyjdzie przeciętnie za tonę? Nie dziękuj!",https://twitter.com/Piotr18658370/status/1598344839904591875,Tue Feb 27 08:30:00 +0000 2018,968402825758892032,false,"Zwolennik prawej strony, przedsiębiorca, inżynier, banuję nie tylko za chamstwo...",12417,1164,1132,12,Warszawa ,Piotr Kross,Piotr18658370,16287,,,false
,Thu Dec 01 13:58:45 +0000 2022,,,https://youtu.be/2CsiBNm2oYQ,0,1598315669413576705,,,,pl,,true,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Natychmiast wprowadźmy embargo na rosyjski węgiel https://t.co/RM6YTIo7R8 przez @YouTube,https://twitter.com/michal_hadron/status/1598315669413576705,Wed Feb 05 05:46:20 +0000 2014,2328271236,false,"Ceterum censeo Moscoviam esse delendam 
(łac. „A poza tym uważam, że Moskwę należy zniszczyć”).",424246,5530,4609,35,"London, England",Michał Otto ㊙ | INTP-A | Σ | #SilniRazem,michal_hadron,396480,,,false
,Thu Dec 01 16:58:50 +0000 2022,,,,0,1598360988528435201,LeszBucz,1598347461634015234,800690361051988000,pl,,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@LeszBucz OK, ale to nie oznacza, że nie można stosować tradycyjnych źródeł energii takich jak węgiel (zwłaszcza gdy wpływ CO2 na klimat nie jest udowodniony), bo efektem są bardzo duże problemy gospodarcze, wręcz bieda wielu ludzi, chyba nie o to Panu chodzi? A system ETS to spekulacja.",https://twitter.com/Fil_Stankiewicz/status/1598360988528435201,Sun Nov 01 23:09:44 +0000 2009,86824383,false,Absolwent UG. Kandydat PiS do Sejmiku (uzyskałem 1276 głosów) i do Sejmu RP okręg Gdańsk 2019. Bloger. Jeśli Morawiecki pozostanie premierem poprę Konfederację!,68696,2539,5002,37,Gdańsk,Filip Stankiewicz Potrzebny nowy premier RP!,Fil_Stankiewicz,140960,,http://filipstankiewicz.salon24.pl,false
,Thu Dec 01 14:22:46 +0000 2022,ŻYWIEC ŚLĄSKIE węgiel siećdystrybucji,https://twitter.com/WojewodaSlaski/status/1598321711484657664/photo/1,,2,1598321711484657664,WojewodaSlaski,1598321706237583366,726008636888240100,pl,,false,,1,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","4. W wizycie wicewojewody uczestniczyli również Burmistrz @AntoniSzlagor, Wiceprezes Zarządu ds. Sprzedaży @PGG_SA Adam Gorszanow oraz Prezes Zarządu Jacek Spyrka wraz Zarządem EKOTERM MZEC Sp. z o.o. #ŻYWIEC
#ŚLĄSKIE #węgiel #siećdystrybucji https://t.co/O7fst0aEPS",https://twitter.com/WojewodaSlaski/status/1598321711484657664,Fri Apr 29 11:22:02 +0000 2016,726008636888240128,false,"Oficjalne konto Wojewody Śląskiego na serwisie Twitter.
Śląski Urząd Wojewódzki w Katowicach
Polityka Prywatności: https://t.co/DAbNfkypyv",6170,2477,659,18,"Katowice, Polska",Jarosław Wieczorek - Wojewoda Śląski🇵🇱 #ŚLĄSKIE,WojewodaSlaski,9220,,http://www.katowice.uw.gov.pl,false
,Thu Dec 01 14:22:43 +0000 2022,,https://twitter.com/WojewodaSlaski/status/1598321698792677378/photo/1,,4,1598321698792677378,,,,pl,,false,,3,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","1. Ż Y W I E C |🟡 Węgiel trafia do kolejnych gmin w naszym województwie. @PGG_SA jest jedną ze spółek Skarbu Państwa, która została wskazana przez Wicepremiera, ministra aktywów państwowych @SasinJacek, do realizacji dostaw węgla dla samorządów w południowej i środkowej Polsce. https://t.co/e5R5MAVOEd",https://twitter.com/WojewodaSlaski/status/1598321698792677378,Fri Apr 29 11:22:02 +0000 2016,726008636888240128,false,"Oficjalne konto Wojewody Śląskiego na serwisie Twitter.
Śląski Urząd Wojewódzki w Katowicach
Polityka Prywatności: https://t.co/DAbNfkypyv",6170,2477,659,18,"Katowice, Polska",Jarosław Wieczorek - Wojewoda Śląski🇵🇱 #ŚLĄSKIE,WojewodaSlaski,9220,,http://www.katowice.uw.gov.pl,false
,Thu Dec 01 16:39:19 +0000 2022,,,,5,1598356078160404480,wkrawcz1,1598277867514863618,716742538498060300,pl,,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@wkrawcz1 Komisja Europejska szykuje nałożenie nowych POdatków na ropę 300%, na gaz 500%, na węgiel 800% - ""Lewactwo i POszyści"" pieją z zachwytu? 🤣🤣🤣",https://twitter.com/Dermod04383578/status/1598356078160404480,Tue Mar 22 08:05:41 +0000 2022,1506180214405144578,false,"Z niejednego pieca chleb jadłem. I tylko czasem ciąży mi już przytłaczający bagaż doświadczeń. ,,Czy jeszcze kiedyś zagram na skrzypcach?""",71609,676,638,1,,Dermod 🍚,Dermod04383578,7906,,,false
